stop_id,stop_name,route_count,total_daily_trips,p_morning,p_daytime,p_night,latitude,longitude,elevation,osm_node_id,osm_node_dist
S0243,深堀町,14,975,1.0,1.0,1.0,41.787145,140.770009,17.3,666164004,8.1
S0244,清尚学院・高台通り,7,246,0.9991,0.9847,0.9373,41.86377,140.658249,13.2,505082286,3872.9
S0245,清尚学院高等学校前,2,91,0.8031,0.8262,0.6177,41.86377,140.658249,13.2,505082286,3872.9
S0246,清尚学院高等学校前(高台通),2,67,0.907,0.7135,0.3935,41.86377,140.658249,13.2,505082286,3872.9
S0247,清尚学院高等学校前（高台通）,2,73,0.8806,0.6811,0.5709,41.86377,140.658249,13.2,505082286,3872.9
S0248,渡島総合振興局前,7,236,0.9992,0.9847,0.9079,41.81975173,140.75331378,38.4,3380977396,46.9
S0249,港,2,95,0.9276,0.7923,0.6846,41.804674,140.716767,2.1,4804432895,84.5
S0250,港中学校前,1,44,0.8031,0.4551,0.3935,41.802166,140.725266,2.6,5736861655,13.9
S0251,港小学校前,6,248,0.9993,0.9885,0.9147,41.802166,140.725266,2.6,5736861655,13.9
S0252,港小学校通,1,44,0.8031,0.4551,0.3935,41.802166,140.725266,2.6,5736861655,13.9
